SummerSecondary WinterSecondary Mobile SteelMill Soil ZincSmelter CopperSmelter LeadSmelter
7.3364 5.0638 0.36369 0.2448 0.047016 0.12378 0.0052489 0.020178
5.6271 3.257 0.54689 1.247 0.042845 0.075378 0.083401 0.025648
4.9986 7.7218 0.9958 0.63756 0.089706 0.71252 0.17829 0.067781
3.583 1.1252 0.8741 0.26638 0.28598 0.11885 0.043292 0.014935
3.4999 2.9479 1.2213 0.3717 0.14038 0.10817 0.015325 0.013853
8.8274 9.0578 0.83997 0.33207 0.052946 0.15388 0.0092246 0.010239
4.3308 10.704 2.4665 0.98197 0.19237 0.2859 0.024683 0.093789
3.4344 7.1606 4.7619 0.82686 0.39435 0.24942 0.04321 0.057948
1.2974 0.51327 4.2912 0.099294 0.34773 0.21661 0.016045 0.0053184
1.4894 3.9798 3.2347 0.80214 0.30622 0.25525 0.20572 0.080532
4.4479 14.083 1.7026 0.2801 0.1495 0.4958 0.36538 0.18426
1.743 6.5505 1.5533 0.34826 0.20785 0.15102 0.00024065 0.089017
0.91921 5.6549 3.5863 0.94412 0.43559 0.30108 0.022705 0.14611
8.271 13.437 0.44505 0.87159 0.19904 0.26596 0.016271 0.038031
8.5817 5.5935 0.39974 0.45152 0.17227 0.25907 0.010556 0.031017
1.794 2.2693 1.3749 0.26201 0.1312 0.090053 0.0055376 0.041524
3.9869 10.066 1.4701 0.071276 0.11406 0.4823 0.0011519 0.071484
4.34 8.598 1.5488 0.16689 0.081257 0.34439 0.00012612 0.20982
1.9084 2.5151 1.0419 1.7844 0.036025 0.87172 0.01131 0.057018
1.6988 2.0574 2.5383 0.46691 0.18056 0.10995 0.0026813 0.037679
0.56487 3.1103 2.7678 0.43687 0.27226 0.086344 0.0048999 0.035849
1.2764 6.2249 1.0569 0.86125 0.082373 0.11523 0.0031759 0.11488
5.3415 6.1197 1.0324 0.19585 0.015034 0.12505 0.29213 0.032619
2.8474 7.2608 0.27345 0.39231 0.051015 0.079542 0.0056617 0.019025
2.7408 5.3281 2.2281 0.61091 0.17312 0.10193 0.0089624 0.036769
8.4159 13.373 0.64325 1.4319 0.16573 0.24877 0.036615 0.046293
8.6626 9.1897 3.0563 0.31114 0.23927 0.16895 0.47293 0.041048
7.7594 8.6755 2.2168 0.28426 0.26284 0.36024 0.037879 0.048512
14.635 9.1139 2.0245 0.13244 0.20599 0.067127 0.015716 0.04734
3.9808 2.7966 1.9319 0.39213 0.22073 0.072275 0.039727 0.21331
1.3565 1.9708 7.3891 0.58922 0.54708 0.36909 0.033319 0.11523
4.9673 0.66496 2.5801 0.12215 0.44788 0.078373 0.060629 0.077816
6.5532 1.0354 2.0614 0.19031 0.4865 0.082892 0.13829 0.032506
11.893 8.4428 2.3336 1.4973 0.43405 0.12638 0.031168 0.10406
3.6514 2.7783 2.959 1.884 0.60795 0.14485 0.036769 0.096357
8.7054 2.7041 0.69372 0.29287 0.49879 0.061885 0.017849 0.0099321
1.0971 0.1672 3.9621 0.70424 0.84971 0.32656 0.23322 0.048757
3.6574 1.9749 1.9297 1.2388 0.5132 0.17784 0.02796 0.034901
1.9273 0.3703 2.4009 0.46242 0.46676 0.044512 0.0051173 0.0085466
3.9307 2.7055 3.2088 0.43696 0.44254 0.54684 0.096318 0.22146
13.221 3.4625 1.7756 0.50105 0.23364 0.095632 0.052959 0.047871
5.3435 3.1219 6.9588 1.7338 0.68551 0.3984 0.037778 0.11041
