Na Mg Al Si P S Cl K Ca Fe Cu Zn Ba Pb OC EC SO4 NO3
0.238751471 0.081942453 0.051493622 0.104499488 0.033220104 0.924852468 0.41057741 0.094117766 0.156696479 0.103374098 0.015924267 0.089264522 0.005458141 0.014179913 2.86 0.44 1.962073963 7.3
0.09747367 0.029366577 0.014102633 0.111221651 0.015757675 0.972309773 0.038921319 0.114058867 0.14891212 0.074400428 0.016793816 0.08191766 0.009714683 0.031717016 4.06 0.54 1.96689993 3.1
0 0.055968448 0.028673013 0.050063552 0.028243818 1.074961101 0.215428338 0.073295477 0.088698049 0.063064015 0.02006834 0.03830914 0.010743727 0.012862013 2.51 0.56 2.408525022 2.57
0.31696248 0.010075749 0.005426481 0.138105681 0.029800131 0.778360368 0.406600937 0.109852972 0.205681118 0.235061134 0.030185236 0.104517517 0.041738388 0.028217699 8.18 2.73 1.603751868 2.51
0.267400396 0.083096154 0.04357045 0.076678214 0.037647786 0.8798218 0.179860524 0.062363388 0.224242675 0.144792296 0.051240335 0.115495399 0.021565103 0.025520425 4.55 1.25 2.009714888 3.79
0 0.102679721 0.039079492 0.037466468 0.02299771 0.57025598 0.039501786 0.066971658 0.101219 0.079356637 0.039494863 0.033485829 0.025358402 0.026604515 3.58 0.58 1.227885167 2.46
0.211079221 0.056657484 0.026001353 0.087898072 0.001280238 0.736227234 0.204295352 0.057221067 0.173186963 0.192460109 0.00359719 0.036340666 0.019871518 0.010589794 3.54 1.07 1.801861041 1.71
0.064701865 0.056421673 0.03271634 0.036462648 0.008031858 1.719257484 0.206997721 0.056024337 0.019987406 0.047687382 0.008308574 0.037853323 0.004846077 0.009358675 3.16 0.46 3.696794052 7.49
0 0.01980926 0.056494111 0.061865522 0.005916235 0.666404195 0 0.07196573 0.099276805 0.052959736 0.007278297 0.01244016 0.006936035 0.003750907 2.97 0.43 1.68274304 1.41
0.674333308 0.099449202 0.014849139 0.11013822 0.018687736 1.539566301 0.007408165 0.127953249 0.16247438 0.103629008 0.020649686 0.042559219 0.011305818 0.014593232 4.71 0.84 3.094090543 1.23
0.218545453 0.03732072 0.013711522 0.035107137 0.001219585 0.838320366 0.03732072 0.029227749 0.018632161 0.181922647 0.005068681 0.026661685 0.012365044 0.007317512 1.62 0.56 1.860328314 2.45
0.218217386 0.040220081 0.030999531 0.036916683 0.009406754 0.506392334 0.157763129 0.033771903 0.024820314 0.147404665 0.003965457 0.024268598 0.013592898 0.004724066 1.43 0.46 1.13352437 1.04
0.374267204 0.046349611 0.039354972 0.063019268 0.000857451 0.835670326 0.024116651 0.058448446 0.085360253 0.1011387 0.008000625 0.027249385 0.008176166 0.012287879 4.05 0.79 1.907773793 3.29
0.141155817 0.114059006 0.017232875 0.028619919 0.002088833 0.581326682 0.05356262 0.046549072 0.042226347 0.035379615 0.00340886 0.10695117 0 0.035096753 1.9 0.27 1.312333742 2.89
0.358232342 0.012727444 0.024070865 0.072031769 0 1.006434807 0.092235717 0.062440979 0.094162221 0.153306584 0.002976692 0.039608084 0.013819361 0.010863534 2.25 0.42 2.095687597 3.4
0 0.068052425 0.051838362 0.07875892 0 1.193194545 0 0.044869882 0.093621811 0.055027677 0.001207138 0.013751775 0.02118665 0.002524017 2.58 0.45 2.613447644 1.76
0.307535157 0.04747727 0.022057873 0.04404756 0.042022464 0.585648453 0.012396047 0.023401119 0.064994016 0.047081796 0.089267904 0.0211101 0 0.008482224 1.7 0.28 1.460839363 2.74
0.120815492 0.027970415 0.035004765 0.118129776 0 0.375868101 0.020170704 0.035693589 0.075046988 0.075311385 0.001662918 0.01674746 0.008745973 0.006512514 1.74 0.36 0.855446398 0.77
0.193147221 0.016864347 0.041278869 0.075330162 0.139417425 0.654236447 0.047826931 0.058465815 0.079386665 0.086298508 0.166824563 0.042109389 0.007673724 0.052178578 2.67 0.4 1.85849569 1.86
0.247728596 0.067179682 0.033237894 0.057585601 0.004504924 0.533770165 0.218509939 0.051159045 0.087881216 0.056797239 0.008897225 0.072085826 0.002076488 0.04952601 2.96 0.98 1.067712955 0.9
0.20494991 0.024283763 0.008765436 0.070389954 0 0.729676938 0 0.052676762 0.09966651 0.050124267 0.000897581 0.011002375 0.008162374 0.003569285 2.5 0.49 1.554650961 2.38
0 0.024033022 0.012950107 0.047443647 0.02961338 1.229361936 0 0.030327722 0.02628214 0.039967807 0.033835779 0.02061691 0.012186256 0.002892733 1.63 0.29 2.789288539 2.34
0.110721611 0.064177952 0.024586208 0.093240719 0 0.685164487 0.006930996 0.071666775 0.086477071 0.110261404 0 0.018777838 0 0.005892044 5.56 0.97 1.446791369 2.43
0.108799762 0.055341659 0.046809849 0.073654007 0.005908784 0.85560172 0.026976704 0.065659359 0.0372665 0.041619606 0.013561602 0.017419403 0.025448931 0.004088014 4.57 0.46 1.858775168 2.85
0.579525242 0.077231766 0.05330312 0.070580535 0.004735504 0.455569837 0.06494098 0.037453532 0.037919907 0.028886575 0 0.003809928 0 0.003329203 1.18 0.12 1.103119276 1.4739
0.233467619 0.05858605 0.037982921 0.089342346 0 1.114646544 0 0.061650636 0.085449494 0.047804781 0 0.005984225 0.016392774 0.001829089 2.38 0.44 2.278111454 0.4539
0.56076617 0 0.015844197 0.066170475 0.012285572 0.767206344 0.007609472 0.038971935 0.062877915 0.046441722 0.021537997 0.021764153 0.023234164 0.009292335 1.68 0.35 1.635315295 2.1369
0.180640199 0.028615588 0.016042072 0.13926528 0 1.050931204 0.001789334 0.077774112 0.076865681 0.067347797 0.012924501 0.015711733 0.022325389 0.009903278 2.23 0.43 2.082245348 2.1471
0.03982818 0.078847808 0.010085995 0.014553945 0.004405217 1.687560555 0 0.026605559 0.027191062 0.09060667 0.001972589 0.017558135 0.024019585 0.005325294 1.32 0.28 4.058735645 2.3409
0.284741892 0.119757216 0.040593412 0.038535391 0.028896293 2.428639665 0.085057864 0.043428441 0.09061592 0.117727196 0.017955182 0.086009874 0.023254236 0.011494117 2.89 0.58 6.135933759 4.8246
0 0.068908436 0.056270141 0.126314346 0.184055652 0.835484294 0.046132063 0.072978912 0.096532791 0.059486884 0.35343777 0.046078705 0.020939322 0.041703324 3.76 0.44 1.85 0.8415
0 0.023745898 0.031844454 0.045194033 0.077686935 1.880556688 0.01903055 0.048379888 0.067713517 0.068390159 0.179436944 0.028045392 0.013455304 0.047195765 0 0.64 4.126225939 4.78
0.355845418 0.051539708 0.076777274 0.199295861 0 0.744792075 0.015989942 0.06428624 0.096138376 0.123171528 0.00166074 0.017948764 0.01068835 0.006146156 2.34 0.44 1.65 1.970211798
0.139990849 0.062289093 0.04241432 0.140199035 0 1.448450405 0 0.077403358 0.158269534 0.332534651 0.02894472 0.033587256 0.078527559 0.008577241 2.55 0.45 3.34 6.536887969
0.345358016 0.03472359 0.06693646 0.178034062 0 2.245958648 0 0.08035677 0.113429476 0.092545795 0.006135785 0.02307798 0.000852957 0.007944878 2.91 0.61 5.04 4.028491622
0.165175047 0.037824202 0.026255575 0.10548148 0.037885883 2.409187135 0 0.057980204 0.075381119 0.059700421 0.123992654 0.015166689 0 0.006565607 2.95 0.28 5.336713222 0.54
0.013730846 0.063127129 0.03656924 0.056598894 0 2.268579059 0 0.040761493 0.03095176 0.099807606 0.009336975 0.037292282 0 0.005638337 1.96 0.25 4.596417368 5.005
0.869792077 0.099955241 0.013771766 0.03109641 0.008313316 1.432193869 0 0.031787442 0.023795211 0.047806805 0.001465824 0.006659029 0.042362315 0.002987489 1.35 0.11 2.879677899 1.935
0.270370825 0.085412349 0.025239876 0.044077982 0 0.741046357 0 0.027394584 0.057816844 0.052759169 0.001524231 0.01882425 0.02204592 0.006374056 1.5 0.31 1.706232468 1.585
0.074994315 0.045120412 0.08687312 0.291527388 0 0.561120486 0.01046369 0.07447045 0.126060933 0.213607594 0.023988928 0.012756449 0.006966722 0.009552029 1.73 0.46 1.182714851 1.1
0.601003113 0.071744542 0.055985223 0.159422271 0 2.049956334 0 0.074213456 0.045191551 0.05274434 0.000639831 0.011468277 0.043501562 0.004381452 2.36 0.32 4.773131281 1.895
0.119400462 0.05155565 0.027027891 0.071013503 0.000926233 2.191947344 0.017208431 0.087212131 0.065268074 0.083402737 0.000891412 0.013949205 0.02778002 0.005320616 4.26 0.5 4.945534258 3.295
0.531371308 0.042648547 0.06432546 0.187645312 0.041445427 0.935253329 0.006769281 0.081936655 0.097660195 0.094880572 0.029524854 0.028280246 0.019644054 0.007467645 1.9 0.36 1.922808765 0.37
0.433559614 0.04795234 0.051200081 0.158671397 0 2.288315396 0 0.074704916 0.067507592 0.060158891 0.000805054 0.006811998 0.021791514 0.002993151 2.37 0.24 5.128770577 0.505
0.069362874 0.065103991 0.055612374 0.057443488 0.031478702 0.793119271 0.010630063 0.030470561 0.136928925 0.129378151 0.005561923 0.094381241 0.034276809 0.008188577 2.32 0.49 1.99751506 2.48
0.215510897 0.053358487 0.056084484 0.122546886 0 1.072505583 0 0.052948562 0.094562716 0.13722901 0.013629985 0.018719879 0.004556992 0.009940666 3.64 0.88 2.292071389 0.935
0.743087996 0.039212217 0.026365888 0.066773432 0 0.92678363 0 0.043478297 0.106871839 0.116805417 0.005021747 0.018479479 0.006931522 0.00675291 3.45 0.52 2.109342489 1.66
0.574636259 0.060337849 0.047846226 0.12113569 0 2.99640132 0 0.073893202 0.150000109 0.097230545 0.012563497 0.124564058 0.010601349 0.023028287 5.07 0.61 5.867923823 0.8
0.032695992 0 0.031610173 0.153950473 0 2.706652328 0 0.109524785 0.191868393 0.115803959 0.021994966 0.087922714 0 0.012994103 5.45 0.42 4.97 0.52
0.128836616 0.023089452 0.030208466 0.059547219 0.025993168 2.384554008 0 0.043134911 0.054434154 0.139988568 0.001893728 0.050085594 0.023405073 0.005155148 2.19 0.43 5.81 2.16
0.662339971 0.081755409 0.065891785 0.085489277 0.003577995 3.933994626 0 0.070178294 0.120071836 0.094352785 0.003138716 0.012554865 0.011874692 0.004690361 5.78 0.67 9.23 0.95
0.06421847 0.086560138 0.041455131 0.059842766 0.019929155 1.293272887 0 0.073197996 0.043356108 0.035482606 0.02660677 0.013396706 0.003221292 0.004382617 2.34 0.24 2.87 0.78
0.136718411 0.031395775 0.02169037 0.060843561 0.014782609 1.111362079 0 0.031824056 0.061202765 0.079211298 0.010610321 0.008835027 0.002680211 0.006963023 2.62 0.56 2.351644577 0.26
0 0.049617369 0.023858505 0.075272198 0.008849841 0.531711762 0 0.028089229 0.072345369 0.06464684 0.000846145 0.012241355 0.003231995 0.003141832 3.93 0.82 1.017656592 0.22
0.4336665 0.1167475 0.021910674 0.093984706 0 2.038586669 0 0.106773499 0.097868141 0.073743351 0.012767839 0.01111249 0.006181366 0.008563113 5.34 0.53 4.604696509 0.56
0.481891727 0.076237838 0.023801391 0.101330559 0 3.704224673 0 0.233970567 0.10609366 0.066796314 0.009180436 0.016229825 0.012158256 0.005821568 6.72 0.66 7.586489783 0.81
0.668550498 0.107321088 0.705912687 1.919663258 0 1.337247734 0.01361166 0.233983591 0.275300707 0.602455689 0.003151365 0.038144789 0.029501246 0.005624941 2.76 0.66 2.965466563 0.5
0.08360463 0.070129613 1.255425954 3.201552116 0 1.9964412 0 0.39413216 0.513566357 1.145099678 0.015931942 0.013419651 0.048231843 0.011384902 4.34 0.66 4.400739868 0.56
0.41478467 0.432904703 0.696102551 0.712881911 0 9.847417638 4.677656921 14.8160006 0.214381989 0.48268417 0.273685821 0.126658684 1.251217976 0.087590635 10.15 2 22.38290992 3.03
0.895825768 0.110967524 0.12494302 0.308457654 0 3.659655978 0 0.267918262 0.112047924 0.206328498 0.005680812 0.013808208 0.038406474 0.010573978 4.29 0.4 8.532178046 0.54
0.47281634 0.049481734 0.033008346 0.096952183 0 8.670317695 0 0.071024384 0.121395462 0.273664844 0.003584741 0.029334671 0.048318746 0.012320836 5.82 0.69 20.7616729 1.19
0.187925892 0.071069 0.036487982 0.066108126 0.014917166 0.897994052 0 0.02809319 0.073549436 0.146394124 0.016989954 0.024838912 0.025522933 0.015905195 2.53 0.63 2.416610596 0.33
0.119397609 0.023982766 0.02062016 0.098841977 0 1.972444487 0 0.045011601 0.09874877 0.149854646 0.001534323 0.046617622 0.001778094 0.005341453 2.81 0.41 4.208582394 0.6
0 0 0.035274986 0.091050831 0.082024543 3.508707283 0 0.035303127 0.074419385 0.146109075 0.069480606 0.022709943 0 0.008794123 4.97 0.57 7.553197315 0.57
0.208542844 0.044383306 0.100232765 0.21367152 0.00994991 2.565294987 0 0.067008171 0.069593471 0.082589842 0.019836934 0.014484665 0.012143921 0.005366244 3.31 0.23 5.507845042 0.35
0.447258657 0.128843754 0.213012481 0.783453037 0 2.215157087 0 0.108995924 0.218542016 0.276887672 0.00602399 0.018712673 0.011783343 0.005411145 3.57 0.64 4.9523877 0.69
0.612449747 0.066406908 0.120546192 0.502777623 0 4.320376956 0 0.095093941 0.161471967 0.267411094 0.002339441 0.013430124 0.021856443 0.00610132 4.57 0.39 9.408942417 0.88
0.110830943 0.031242227 0.046197298 0.08501319 0.008129846 4.769527689 0 0.041740989 0.108228569 0.244231821 0.002952562 0.016191027 0.009482531 0.004332713 4.93 0.91 11.60726491 0.7
